"First Name","Last Name","ID","Salutation","Title","Department","Account Name","Account Description","Website","Email Address","Non Primary E-mails","Mobile Phone","Office Phone","Home Phone","Other Phone","Fax","Primary Address Street","Primary Address City","Primary Address State","Primary Address Postalcode","Primary Address Country","Alt Address Street","Alt Address City","Alt Address State","Alt Address Postalcode","Alt Address Country","Status","Status Description","Lead Source","Lead Source Description","Description","Converted","Opportunity Name","Opportunity Amount","Referred By","Campaign ID","Do Not Call","Portal Name","Portal Application","Reports To ID","Assistant","Assistant Phone","Birthdate","Contact ID","Account ID","Opportunity ID","Assigned User Name","Assigned User ID","Date Created","Date Modified","Created By ID","Modified By ID","Deleted"
"Ali","Aubrey","12f779e9-2fc7-0130-f244-56fb89bf1104","","Director Sales","","Dirt Mining Ltd","","","vegan.kid.kid@example.net","","(814) 462-5738","(896) 008-3198","(720) 339-9281","","","345 Sugar Blvd.","Los Angeles","CA","76163","USA","","","","","","New","","Employee","","","0","","","","","0","","","","","","","","","","max","seed_max_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Lonnie","Wray","13e13bc2-3efd-f4a0-aa00-56fb894a4c89","","VP Sales","","Hollywood Diner Ltd","","","kid19@example.de","","(966) 998-4861","(217) 139-6534","(635) 885-4293","","","123 Anywhere Street","Ohio","CA","70132","USA","","","","","","Recycled","","Public Relations","","","0","","","","","0","","","","","","","","","","max","seed_max_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Lottie","Bowersox","14628c45-a4b4-5de3-9373-56fb897a1ab1","","Director Operations","","Powell Funding","","","kid.sugar.info@example.biz","","(138) 137-7099","(991) 912-0337","(855) 539-1934","","","321 University Ave.","San Jose","CA","25718","USA","","","","","","New","","Trade Show","","","0","","","","","0","","","","","","","","","","chris","seed_chris_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Rogelio","Escalante","14ca27b6-2591-6c90-8f52-56fb89d928c1","","VP Operations","","Trait Institute Inc","","","support.hr@example.net","","(795) 212-3072","(388) 660-0892","(490) 492-1727","","","111 Silicon Valley Road","Alabama","CA","13511","USA","","","","","","Recycled","","Web Site","","","0","","","","","0","","","","","","","","","","max","seed_max_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Dino","Barto","166f3a09-90cb-4bb1-95ac-56fb89dc9ed2","","Director Operations","","Kringle Bell IncK.A. Tower & Co","","","kid.sales@example.cn","","(520) 598-6207","(855) 348-7031","(057) 108-3438","","","1715 Scott Dr","Denver","CA","87803","USA","","","","","","Dead","","Employee","","","0","","","","","0","","","","","","","","","","will","seed_will_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Everett","Raya","16883f59-ad04-e2b5-c803-56fb89d7df61","","VP Sales","","P Piper & Sons","","","vegan.sales@example.net","","(979) 839-4695","(701) 286-0236","(329) 657-7478","","","48920 San Carlos Ave","Cupertino","CA","89785","USA","","","","","","Dead","","Conference","","","0","","","","","0","","","","","","","","","","sally","seed_sally_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Sam","Herrmann","17a8666e-ce7b-b685-7626-56fb89f0ee92","","VP Sales","","Davenport Investing","","","sugar17@example.de","","(273) 249-0556","(868) 963-9405","(315) 381-2082","","","48920 San Carlos Ave","Salt Lake City","CA","50345","USA","","","","","","New","","Campaign","","","0","","","","","0","","","","","","","","","","sarah","seed_sarah_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Janet","Allred","18c5cbd2-8300-b221-78ae-56fb890d06ef","","IT Developer","","Gifted Holdings AG","","","info.sales@example.us","","(974) 585-0982","(563) 022-3112","(207) 827-0446","","","111 Silicon Valley Road","Denver","CA","74555","USA","","","","","","Converted","","Word of mouth","","","0","","","","","0","","","","","","","","","","sally","seed_sally_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Aubrey","Fairman","193be404-846d-56b9-4d7f-56fb89932d28","","VP Operations","","Jungle Systems Inc","","","im.sugar.support@example.co.uk","","(478) 606-7495","(458) 594-2702","(648) 906-6801","","","111 Silicon Valley Road","Denver","CA","19876","USA","","","","","","New","","Email","","","0","","","","","0","","","","","","","","","","sally","seed_sally_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Hoyt","Merry","1b094652-775b-fcb5-2bcd-56fb8975b12b","","VP Operations","","XY&Z Funding Inc","","","im.kid@example.co.uk","","(437) 611-2344","(224) 663-5772","(916) 244-9446","","","111 Silicon Valley Road","Santa Fe","CA","57029","USA","","","","","","New","","Employee","","","0","","","","","0","","","","","","","","","","max","seed_max_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Doyle","Petry","1d9d8f23-aa58-fa0f-18b8-56fb89b61916","","IT Developer","","Smallville Resources Inc","","","phone.dev.sugar@example.co.uk","","(845) 155-6246","(005) 227-0119","(025) 360-5956","","","9 IBM Path","Kansas City","CA","12831","USA","","","","","","Recycled","","Conference","","","0","","","","","0","","","","","","","","","","chris","seed_chris_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Luz","Mcelhaney","1de23bbf-c6f4-ab9b-1066-56fb898ec67e","","Director Sales","","Insight Marketing Inc","","","kid.vegan@example.name","","(029) 258-6260","(505) 480-5461","(241) 773-3577","","","123 Anywhere Street","Santa Fe","CA","46836","USA","","","","","","Converted","","Partner","","","0","","","","","0","","","","","","","","","","sarah","seed_sarah_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
"Smeer","Singh","1e79f0a1-f64a-5f7a-9a5c-56fb8c920913","Mr.","","","","","http://","","","","","","","","","","","","","","","","","","New","","","","","0","","","","","0","","","","","","","","","","admin","1","03/30/2016 01:53 pm","03/30/2016 01:53 pm","1","1","0"
"Harvey","Leyva","1ff229c3-8a1e-c55c-1b10-56fb89ef81af","","VP Sales","","A.G. Parr PLC","","","section67@example.com","","(036) 279-5549","(297) 008-0052","(209) 894-4609","","","9 IBM Path","San Jose","CA","28230","USA","","","","","","Dead","","Conference","","","0","","","","","0","","","","","","","","","","will","seed_will_id","03/30/2016 01:29 pm","03/30/2016 01:29 pm","1","1","0"
